,Frame ID,Date and Time,Total people,People at High Risk
0,Frame 1,15/01/2021 00:49:44,29,26
1,Frame 2,15/01/2021 00:50:11,28,24
2,Frame 3,15/01/2021 00:50:11,32,29
3,Frame 4,15/01/2021 00:50:12,35,33
4,Frame 5,15/01/2021 00:50:12,33,32
5,Frame 6,15/01/2021 00:50:12,33,31
6,Frame 7,15/01/2021 00:50:13,31,29
7,Frame 8,15/01/2021 00:50:13,31,27
8,Frame 9,15/01/2021 00:50:13,32,28
9,Frame 10,15/01/2021 00:50:14,32,27
10,Frame 11,15/01/2021 00:50:14,33,30
11,Frame 12,15/01/2021 00:50:14,35,31
12,Frame 13,15/01/2021 00:50:15,34,29
13,Frame 14,15/01/2021 00:50:15,31,29
14,Frame 15,15/01/2021 00:50:15,29,27
15,Frame 16,15/01/2021 00:50:16,29,26
16,Frame 17,15/01/2021 00:50:16,31,30
17,Frame 18,15/01/2021 00:50:16,31,27
18,Frame 19,15/01/2021 00:50:17,32,29
19,Frame 20,15/01/2021 00:50:17,31,28
20,Frame 21,15/01/2021 00:50:17,30,27
21,Frame 22,15/01/2021 00:50:18,28,26
22,Frame 23,15/01/2021 00:50:18,28,27
23,Frame 24,15/01/2021 00:50:18,26,25
24,Frame 25,15/01/2021 00:50:19,28,27
25,Frame 26,15/01/2021 00:50:19,28,24
26,Frame 27,15/01/2021 00:50:19,26,21
27,Frame 28,15/01/2021 00:50:20,29,26
28,Frame 29,15/01/2021 00:50:20,30,27
29,Frame 30,15/01/2021 00:50:20,32,28
30,Frame 31,15/01/2021 00:50:21,28,22
31,Frame 32,15/01/2021 00:50:21,26,21
32,Frame 33,15/01/2021 00:50:21,26,22
33,Frame 34,15/01/2021 00:50:22,27,23
34,Frame 35,15/01/2021 00:50:22,30,26
35,Frame 36,15/01/2021 00:50:22,25,18
36,Frame 37,15/01/2021 00:50:23,27,23
37,Frame 38,15/01/2021 00:50:23,30,25
38,Frame 39,15/01/2021 00:50:23,28,24
39,Frame 40,15/01/2021 00:50:24,25,21
40,Frame 41,15/01/2021 00:50:24,24,19
41,Frame 42,15/01/2021 00:50:24,23,17
42,Frame 43,15/01/2021 00:50:25,25,20
43,Frame 44,15/01/2021 00:50:25,25,20
44,Frame 45,15/01/2021 00:50:25,27,20
45,Frame 46,15/01/2021 00:50:25,22,15
46,Frame 47,15/01/2021 00:50:26,25,21
47,Frame 48,15/01/2021 00:50:26,27,22
48,Frame 49,15/01/2021 00:50:26,26,21
49,Frame 50,15/01/2021 00:50:27,28,21
50,Frame 51,15/01/2021 00:50:27,24,18
51,Frame 52,15/01/2021 00:50:27,25,20
52,Frame 53,15/01/2021 00:50:28,25,22
53,Frame 54,15/01/2021 00:50:28,23,17
54,Frame 55,15/01/2021 00:50:28,24,20
55,Frame 56,15/01/2021 00:50:29,24,22
56,Frame 57,15/01/2021 00:50:29,25,23
57,Frame 58,15/01/2021 00:50:29,24,23
58,Frame 59,15/01/2021 00:50:30,22,20
59,Frame 60,15/01/2021 00:50:30,20,17
60,Frame 61,15/01/2021 00:50:30,20,18
61,Frame 62,15/01/2021 00:50:31,20,18
62,Frame 63,15/01/2021 00:50:31,21,16
63,Frame 64,15/01/2021 00:50:31,22,16
64,Frame 65,15/01/2021 00:50:32,25,20
65,Frame 66,15/01/2021 00:50:32,20,13
66,Frame 67,15/01/2021 00:50:32,20,15
67,Frame 68,15/01/2021 00:50:33,23,20
68,Frame 69,15/01/2021 00:50:33,23,19
69,Frame 70,15/01/2021 00:50:33,21,16
70,Frame 71,15/01/2021 00:50:34,24,21
71,Frame 72,15/01/2021 00:50:34,27,22
72,Frame 73,15/01/2021 00:50:34,22,18
73,Frame 74,15/01/2021 00:50:35,23,18
74,Frame 75,15/01/2021 00:50:35,22,17
75,Frame 76,15/01/2021 00:50:35,26,25
76,Frame 77,15/01/2021 00:50:36,22,18
77,Frame 78,15/01/2021 00:50:36,18,15
78,Frame 79,15/01/2021 00:50:36,20,15
79,Frame 80,15/01/2021 00:50:37,21,16
80,Frame 81,15/01/2021 00:50:37,22,19
81,Frame 82,15/01/2021 00:50:37,23,21
82,Frame 83,15/01/2021 00:50:37,19,17
83,Frame 84,15/01/2021 00:50:38,20,18
84,Frame 85,15/01/2021 00:50:38,21,19
85,Frame 86,15/01/2021 00:50:38,22,20
86,Frame 87,15/01/2021 00:50:39,21,19
87,Frame 88,15/01/2021 00:50:39,23,20
88,Frame 89,15/01/2021 00:50:39,22,20
89,Frame 90,15/01/2021 00:50:40,22,20
90,Frame 91,15/01/2021 00:50:40,23,21
91,Frame 92,15/01/2021 00:50:40,23,21
92,Frame 93,15/01/2021 00:50:41,24,22
93,Frame 94,15/01/2021 00:50:41,24,21
94,Frame 95,15/01/2021 00:50:41,26,23
95,Frame 96,15/01/2021 00:50:42,27,24
96,Frame 97,15/01/2021 00:50:42,26,22
97,Frame 98,15/01/2021 00:50:42,25,19
98,Frame 99,15/01/2021 00:50:43,25,19
99,Frame 100,15/01/2021 00:50:43,26,22
100,Frame 101,15/01/2021 00:50:43,26,22
